,Location Name,Category,Website,Seated,Reception,Neighborhood,Color,Address,Latitude,Longitude
0,Smithsonian National Zoological Park,Venue,https://nationalzoo.si.edu/,3000,10000,Woodley Park,Red,"3001 Connecticut Ave. NW, Washington, DC 20008",38.92937705,-77.05488198
1,Smithsonian National Air and Space Museum,Venue,https://airandspace.si.edu/,1230,4000,National Mall,BlueViolet,"600 Independence Ave. SW, Washington, DC 20560",38.88753554,-77.02001302
2,Union Station,Venue,http://www.unionstationdc.com/,2200,7500,NoMa,Blue,"50 Massachusetts Ave, NE, Washington, DC 20002",38.89684307,-77.00632705
3,Newseum,Venue,http://www.newseum.org/,450,3500,Penn Quarter/Chinatown,Green,"555 Pennsylvania Ave, NW, Washington, DC 20001",38.89270703,-77.01940313
4,John F. Kennedy Center,Venue,Hold,1500,3000,Foggy Bottom,Orange,"2700 F St. NW, Washington, DC 20566",38.89734831,-77.05492204
5,Smithsonian National Museum of Natural History,Venue,Hold,400,3000,National Mall,BlueViolet,"10th St. & Constitution Ave. NW, Washington, DC 20001",38.89208208,-77.02602573
6,Smithsonian National Museum of American History,Venue,Hold,350,2200,National Mall,BlueViolet,"14th St. & Constitution Ave, NW, Washington, DC 20001",38.89209094,-77.03194652
7,Smithsonian Arts and Industries Building,Venue,Hold,1300,2200,National Mall,BlueViolet,"900 Jefferson Dr. SW, Washington, DC",38.88868508,-77.02369417
8,Arena Stage at the Mead Center For American Theater,Venue,Hold,600,1500,Southwest-Waterfront,Blue,"1101 6th St. SW, Washington, DC",38.87748982,-77.01991597
9,National Building Museum,Venue,Hold,1500,2000,Penn Quarter/Chinatown,Green,"401 F St. NW, Washington, DC",38.89735751,-77.01751031
10,Ronald Reagan Building and International Trade Center,Venue,Hold,820,2000,Penn Quarter/Chinatown,Green,"1300 Pennsylvania Ave. NW, Washington, DC",38.89546468,-77.02992091
11,National Museum of the American Indian,Venue,Hold,300,1999,National Mall,BlueViolet,"4th St. & Independence Ave. SW, Washington, DC",38.88757395,-77.01753645
12,DAR Contstitution Hall,Venue,Hold,700,1500,Downtown,Blue,"1776 D St. NW, Washington, DC",38.89431313,-77.04062051
13,Library of Congress,Venue,Hold,450,1200,Capitol Hill,Sienna,"101 First St. SE, Washington, DC",38.88835781,-77.00593323
14,*Washington National Cathedral,Venue,Hold,1000,1500,Upper Northwest,Blue,"3101 Wisconsin Ave, NW, Washington, DC",38.93101463,-77.0727566
15,9:30 Club,Venue,Hold,0,1200,U Street Corridor,Salmon,"815 V St. NW, Washington, DC",38.91777766,-77.0236212
16,Smithsonian American Art Museum & Portrait Gallery,Venue,Hold,1100,2000,Penn Quarter/Chinatown,Green,"8th & F Sts. NW, Washington, DC",38.89721019,-77.02294798
17,Smithsonian National Postal Museum,Venue,Hold,420,1100,Capitol Hill,Sienna,"2 Massachusetts Ave, NE, Washington, DC",38.89709431,-77.00817815
18,Carnegie Library at Mt. Vernon Sqaure,Venue,Hold,220,1100,Penn Quarter/Chinatown,Green,"801 K St. NW, Washington, DC",38.90212804,-77.02374008
19,National Museum of Women in the Arts,Venue,Hold,800,1300,Downtown,Blue,"1250 New York Ave. NW, Washington, DC",38.90039805,-77.02884656
20,National Press Club,Venue,Hold,414,1000,Downtown,Blue,"529 14 St. NW, Washington, DC",38.89700086,-77.03191514
21,Howard Theatre,Venue,Hold,600,800,Shaw,Yellow,"620 T St. NW, Washington, DC",38.91554333,-77.02108966
22,Smithsonian Freer Gallery of Art and Arthur M. Sackler Gallery*,Venue,Hold,330,700,National Mall,BlueViolet,"1050 Independence Ave. SW, Washington, DC",38.88754697,-77.02656321
23,The Hamilton Live,Venue,Hold,350,600,Penn Quarter/Chinatown,Green,"600 14th St. NW, Washington, DC",38.89744183,-77.03199448
24,Odyssey Cruise Boat,Venue,Hold,400,600,Southwest Waterfront,Blue,"600 Water St. SW, Washington, DC",38.87656788,-77.02098942
25,Washington Spirit Cruises,Venue,Hold,400,500,Southwest Waterfront,Blue,"600 Water St. SW, Washington, DC",38.87656788,-77.02098942
26,Capital Elite Yachts,Venue,Hold,66,110,Southwest Waterfront,Blue,"600 Water St. SW, Washington, DC",38.87656788,-77.02098942
27,Lucky Strike Lanes,Venue,Hold,100,595,Penn Quarter/Chinatown,Green,"701 7th St. NW, 2nd Floor, Washington, DC",38.89037258,-77.03195678
28,Hirshhorn Museum & Sculpture Garden,Venue,Hold,250,500,National Mall,BlueViolet,"7th St. & Independence Ave. SW, Washington, DC",38.88757395,-77.0219073
29,National Geographic Museum,Venue,Hold,400,500,Downtown,Blue,"1145 17th St. NW, Washington, DC",38.90514094,-77.03846544
30,Penn Social,Venue,Hold,350,550,Penn Quarter/Chinatown,Green,"801 E St. NW, Washington, DC",38.89616107,-77.02307239
31,Tudor Place Historic House & Garden,Venue,Hold,70,500,Georgetown,Grey,"1644 31st St. NW, Washington, DC",38.91174719,-77.06253138
32,Kreeger Museum*,Venue,Hold,160,300,Foxhall,Blue,"2401 Foxhall Rd NW, Washington, DC",38.92194911,-77.08936779
33,Organization of the American States*,Venue,Hold,0,0,Downtown,Blue,"200 17th St NW, Washington, DC",38.89218087,-77.03949178
34,Eastern Market- North Hall,Venue,Hold,230,350,Capitol Hill,Sienna,"225 7th St SE, Washington, DC ",38.88703833,-76.99618529
35,Andrew Mellon Auditorium,Venue,Hold,0,0,Penn Quarter/Chinatown,Green,"1301 Constitution Ave NW, Washington, DC ",38.89211843,-77.0303405
36,101 Constiution,Venue,Hold,200,400,Capitol Hill,Sienna,"101 Constitution Ave NW, Washington, DC",38.89210795,-77.01313023
37,United States Insitute of Peace,Venue,Hold,330,500,Foggy Bottom,Orange,"2301 Constitution Ave NW, Washington, DC ",38.89375834,-77.05167093
38,Renwick Gallery of the Smithsonian American Art Museum,Venue,Hold,500,400,Downtown,Blue,"1661 Pennsylvania Ave. NW, Washington, DC ",38.89877826,-77.03885853
39,Smithsonian Castle,Venue,Hold,200,400,National Mall,BlueViolet,"1000 Jefferson Dr SW, Washington, DC",38.88902023,-77.02627553
40,District Architecture Center,Venue,Hold,110,375,Penn Quarter/Chinatown,Green,"421 7th St. NW, Washington, DC",38.89511948,-77.02187479
41,The Capitol View at 400,Venue,Hold,216,350,Capitol Hill,Sienna,"444 North Capitol St NW, Washington, DC",38.89557471,-77.00909069
42,The Phillips Collection,Venue,Hold,200,350,Dupont Circle,Red,"1600 21st St NW, Washington, DC ",38.91173087,-77.04666613
43,American Pharmacists Association Building,Venue,Hold,250,350,Foggy Bottom,Orange,"2215 Constitution Ave. NW, Washington, DC",38.89211843,-77.04942145
44,POV Rooftop Lounge and Terrace,Venue,Hold,210,350,Downtown,Blue,"515 15th St. NW, Washington, DC",38.8966127,-77.03361237
45,President Lincoln's Cottage,Venue,Hold,0,0,Petworth,Blue,"140 Rock Creek Church Rd. NW, Washington, DC",38.94204668,-77.01335752
46,Top of the Hay,Venue,Hold,250,340,Downtown,Blue,"800 16th St. NW, Washington, DC",38.90051028,-77.03658543
47,"Madam Tussauds Washington, DC",Venue,Hold,120,150,Penn Quarter/Chinatown,Green,"1001 F St. NW, Washington, DC",38.897368,-77.02617022
48,Anderson House- The Society of the Cincinnati,Venue,Hold,180,450,Dupont Circle,Red,"2118 Massachusetts Ave. NW, Washington, DC",38.9110537,-77.0475601
49,Decatur Carriage House,Venue,Hold,220,400,Downtown,Blue,"1610 H St. NW, Washington, DC",38.90017344,-77.03844096
50,Folger Shakespeare Library,Venue,Hold,250,300,Capitol Hill,Sienna,"201 E. Capitol St. SE, Washington, DC",38.8897932,-77.00279078
51,Dock 5- Union Market,Venue,Hold,500,1000,NoMa,Blue,"1309 5th St NE, Washington, DC",38.90882933,-76.99795325
52,Mansion on O Street,Venue,Hold,160,300,Dupont Circle,Red,"2020 O St. NW, Washington, DC",38.90854314,-77.04585026
53,National Archives & Records Administration,Venue,Hold,175,300,National Mall,BlueViolet,"700 Pennsylvania Ave NW, Washington, DC",38.8932554,-77.02203667
54,Roofers Union,Venue,Hold,150,300,Adams Morgan,Blue,"2446 18th St. NW, Washington, DC",38.92186985,-77.04243291
55,City Club of Washington,Venue,Hold,225,600,Downtown,Blue,"555 13th St. NW, Washington, DC",38.89708011,-77.02958523
56,Hill Center at the Old Naval Hospital,Venue,Hold,120,250,Capitol Hill,Sienna,"921 Pennsylvania Ave. SE, Washington, DC",38.88329418,-76.99309121
57,International Spy Museum,Venue,Hold,150,450,Penn Quarter/Chinatown,Green,"800 F St. NW, Washington, DC",38.89719317,-77.02367132
58,Warner Theatre,Venue,Hold,40,250,Penn Quarter/Chinatown,Green,"513 13th St NW, Washington, DC",38.89634964,-77.0296007
59,Anacostia Community Museum,Venue,Hold,150,200,Anacostia,Blue,"1901 Fort Pl. SE, Washington, DC",38.85718389,-76.97692875
60,Carnegie Endowment for International Peace,Venue,Hold,120,200,Dupont Circle,Red,"1779 Massachusetts Ave. NW, Washington, DC",38.90891727,-77.04126155
61,Dumbarton House,Venue,Hold,160,200,Georgetown,Grey,"2715 Q St. NW, Washington, DC",38.91059797,-77.05512091
62,Long View Gallery,Venue,Hold,0,200,Shaw,Yellow,"1234 9th St. NW, Washington, DC",38.90665147,-77.02400583
63,Top of the Hill Banquet & Conference Center,Venue,Hold,200,200,Capitol Hill,Sienna,"1 Constitution Ave. NE, Washington, DC",38.89199829,-77.00805402
64,House of Sweden,Venue,Hold,180,180,Georgetown,Grey,"2900 K St. NW, Washington, DC",38.90256136,-77.05863223
65,Woodrow Wilson House,Venue,Hold,120,175,Dupont Circle,Red,"2340 S St. NW, Washington, DC",38.9140631,-77.05169075
66,Touchstone Gallery,Venue,Hold,100,150,Downtown,Blue,"901 New York Ave. NW, Washington, DC",38.90212687,-77.02435898
67,Credit Union House,Venue,Hold,84,125,Capitol Hill,Sienna,"403 C St. NW, Washington, DC",38.89361484,-77.01677971
68,The Loft at 600 F,Venue,Hold,80,120,Downtown,Blue,"600 F St. NW, Washington, DC",38.89731322,-77.0201211
69,Heurich House Museum,Venue,Hold,60,125,Dupont Circle,Red,"1307 New Hampshire Ave. NW, Washington, DC",38.90828905,-77.04466724
70,W. Curtis Draper Tobacconist,Venue,Hold,20,36,Downtown,Blue,"699 15th St. NW, Washington, DC",38.89822274,-77.03360435
71,Bobby McKey's Dueling Piano Bar,Venue,Hold,100,250,Maryland,Blue,"172 Fleet St., Oxon Hill, MD",38.78309834,-77.01556557
72,Admiral of the Bay,Venue,Hold,0,0,Maryland,Blue,"222 Severn Ave., Annapolis, MD",38.97271319,-76.48075637
73,Medieval Times,Venue,Hold,1008,0,Maryland,Blue,"7000 Arundel Mills Cir., Hanover, MD",39.16235483,-76.72561201
74,George Washington's Mount Vernon,Venue,Hold,300,1200,Virginia,Blue,"3200 Mount Vernon Memorial Hwy., Mount Vernon, VA",38.71121353,-77.08555913
75,701 Restaurant,American,Hold,0,0,Penn Quarter/Chinatown,Green,"701 Pennsylvania Ave NW, Washington, DC",38.89361731,-77.02263283
76,Acadiana,Cajun,Hold,100,200,Downtown,Blue,"901 New York Ave. NW, Washington, DC",38.90212687,-77.02435898
77,Acqua al 2,Italian,Hold,0,0,Capitol Hill,Sienna,"212 7th St SE, Washington, DC",38.88723019,-76.99611577
78,Art and Soul,Southern,Hold,0,0,Capitol Hill,Sienna,"415 New Jersey Ave NW, Washington, DC",38.89535279,-77.01110919
79,Bar Louie,Casual,Hold,189,455,Penn Quarter/Chinatown,Green,"701 7th St NW, Washington, DC",38.89854008,-77.02187263
80,Ben's Next Door,Casual,Hold,100,190,U Street Corridor,Salmon,"1211 U St NW, Washington, DC",38.91702822,-77.02869011
81,Bibiana Osteria Enoteca,Italian,Hold,48,80,Downtown,Blue,"1100 New York Ave NW, Washington, DC",38.90078228,-77.02769145
82,Bistro Bis,French,Hold,90,150,Capitol Hill,Sienna,"15 E St NW, Washington, DC",38.89614769,-77.00990054
